
2021-05-01, 185.0, 50.0, 14.0
2021-05-01, 205.0, 60.0, 15.0, 9773657841.100458
2021-05-01, 205.0, 60.0, 15.0, 9773657841.100458
2021-05-01, 205.0, 60.0, 15.0, 9773657841.100458
2021-05-01, 205, 60, 15, 9773657841.100458
2021-05-01, 205, 60, 15, 9773657.841100458
2021-05-01, 185, 50, 14, 4991963.881644956
2021-05-01, 185, 50, 14, 4991963881.644957
2021-05-01, 185, 50, 14, 24090.081969909246
2021-05-01, 185, 50, 14, 24090.081969909246
2021-05-01, 205, 60, 15, 39924.49041517438
2021-05-01, 205, 60, 15, 39924.49041517438
